Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
W,W1100X607,W1100X607,607,77400,1140,1140,409,410,31,31.8,15.9,55.1,55.6,75.2,85.7,46,3.71,31.9,16100,32800,28300,457,633,4870,3100,90.4,55800,186000,111000,624,5640,16300,110,1080,3400,,3810,2690,3100,965,140,76.2
W,W1100X548,W1100X548,548,69700,1130,1130,406,406,27.9,28.6,14.3,50,50.8,70.1,81,44.5,4.06,35.4,14400,29500,25600,455,562,4340,2770,89.9,41600,163000,110000,558,5100,14700,109,1080,3380,,3780,2670,3070,965,140,76.2
W,W1100X499,W1100X499,499,63500,1120,1120,404,406,26.2,25.4,12.7,45,44.4,65,76.2,44.5,4.5,38,12900,26500,23100,452,499,3870,2460,88.6,31100,144000,108000,491,4560,13200,108,1070,3350,,3760,2640,3050,965,140,76.2
W,W1100X433,W1100X433,433,55100,1110,1110,401,403,22,22.2,11.1,40.1,39.7,59.9,71.4,41.3,5.02,45,11200,23100,20300,452,433,3360,2160,88.6,21200,124000,107000,433,4060,11500,107,1070,3330,,3730,2620,3020,965,140,76.2
W,W1100X390,W1100X390,390,49800,1100,1100,401,400,19.9,20.6,11.1,36.1,36.5,55.9,66.7,41.3,5.57,49.6,10000,20800,18200,450,384,2980,1920,88.1,15500,109000,106000,386,3650,10300,106,1060,3330,,3730,2590,3000,965,140,76.2
W,W1100X343,W1100X343,343,43700,1090,1090,401,400,18,17.5,9.52,31,31.8,51.1,61.9,39.7,6.45,54.8,8660,18000,15900,445,331,2570,1660,87.1,10400,92900,106000,330,3150,8960,105,1060,3300,,3710,2590,3000,965,140,76.2
W,W1000X976,W1000X976,976,125000,1110,1110,429,429,50,50.8,25.4,89.9,90.5,120,122,55.6,2.39,17.3,23500,50500,42500,434,1190,8880,5570,98,245000,309000,109000,1050,8670,25100,120,1020,3350,,3780,2640,3070,864,191,76.2
W,W1000X883,W1000X883,883,112000,1090,1090,424,425,45.5,46,23.8,82,82.6,112,114,54,2.58,19.1,21000,45200,38300,432,1050,7880,4950,96.5,185000,268000,107000,932,7850,22500,118,1010,3300,,3730,2620,3050,864,191,76.2
W,W1000X748,W1000X748,748,95500,1070,1070,417,416,39.1,39.7,20.6,70.1,69.8,100,102,50.8,2.98,22.3,17300,38000,32400,427,849,6460,4080,94.5,115000,212000,104000,762,6600,18800,114,998,3280,,3680,2570,2970,864,191,76.2
W,W1000X642,W1000X642,642,81900,1050,1050,411,413,34,33.3,17.5,59.9,60.3,89.9,92.1,47.6,3.44,25.5,14500,32100,27700,422,703,5370,3410,92.7,73700,171000,102000,629,5590,15900,112,988,3230,,3630,2510,2920,864,191,76.2
W,W1000X591,W1000X591,591,75500,1040,1040,409,410,31,31.8,15.9,55.9,55.6,85.9,88.9,46,3.66,28,13300,29500,25600,422,641,4920,3130,92.5,59100,155000,101000,574,5210,14600,111,986,3200,,3610,2490,2900,864,191,76.2
W,W1000X554,W1000X554,554,71000,1030,1030,409,410,29.5,30.2,15.9,52.1,52.4,82,84.1,46,3.93,29.5,12300,27500,23900,419,591,4540,2900,91.4,48300,142000,100000,533,4830,13600,110,980,3180,,3580,2470,2870,864,191,76.2
W,W1000X539,W1000X539,539,68400,1030,1030,406,406,28.4,28.6,14.3,51.1,50.8,81,82.6,44.5,3.99,30.5,12000,26900,23300,419,574,4420,2830,91.4,45400,138000,99400,516,4740,13200,110,980,3180,,3580,2470,2870,864,191,76.2
W,W1000X483,W1000X483,483,61500,1020,1020,404,403,25.4,25.4,12.7,46,46,75.9,77.8,42.9,4.4,34.2,10700,23900,21000,417,508,3920,2510,90.9,33000,120000,98700,458,4240,11800,108,975,3150,,3560,2450,2840,864,191,76.2
W,W1000X443,W1000X443,443,56300,1010,1010,401,403,23.6,23.8,12.7,41.9,41.3,71.9,74.6,42.9,4.8,36.8,9660,21800,19200,414,454,3520,2260,89.9,25500,107000,97400,409,3830,10700,107,970,3120,,3530,2420,2820,864,191,76.2
W,W1000X412,W1000X412,412,52600,1010,1010,401,403,21.1,20.6,11.1,40.1,39.7,70.1,73,41.3,5.03,41.2,9120,20500,18000,417,433,3340,2160,90.9,21400,102000,97400,391,3690,10100,108,968,3120,,3530,2420,2820,864,191,76.2
W,W1000X371,W1000X371,371,47400,1000,1000,401,400,19.1,19,9.52,36.1,36.5,66,68.3,39.7,5.55,45.6,8160,18400,16300,414,385,2980,1930,90.2,15900,89700,96800,350,3330,9030,107,965,3100,,3510,2400,2790,864,191,76.2
W,W1000X321,W1000X321,321,41000,991,991,401,400,16.5,15.9,7.94,31,31.8,61,63.5,39.7,6.45,52.6,6950,15800,14100,411,334,2560,1660,89.9,10300,76300,96100,299,2870,7750,106,960,3100,,3510,2380,2790,864,191,76.2
W,W1000X296,W1000X296,296,37900,983,981,401,400,16.5,15.9,7.94,27.2,27,57.2,58.7,39.7,7.39,52.6,6200,14200,12600,406,289,2250,1450,87.6,7620,66100,96100,261,2510,7000,105,955,3070,,3480,2370,2770,864,191,76.2
W,W1000X584,W1000X584,584,74800,1060,1060,315,314,36.1,36.5,19,64,63.5,94,96.8,49.2,2.45,24.1,12400,28000,23600,409,334,3470,2130,67.1,71600,82200,78100,394,4420,13900,83.8,993,2950,,3250,2430,2740,864,191,
W,W1000X494,W1000X494,494,63000,1040,1040,310,308,31,31.8,15.9,54.1,54,84.1,85.7,46,2.86,28,10300,23400,19800,404,268,2820,1740,65.3,43700,64700,76100,319,3700,11600,81.5,983,2900,,3200,2380,2690,864,191,
W,W1000X486,W1000X486,486,61900,1040,1040,307,308,30,30.2,15.9,54.1,54,84.1,85.7,46,2.85,29,10200,23100,19700,406,266,2790,1720,65.5,42900,64200,75500,314,3690,11400,81.5,983,2900,,3200,2380,2690,864,191,
W,W1000X438,W1000X438,438,55600,1030,1030,305,305,26.9,27,14.3,49,49.2,79,81,44.5,3.11,32.2,9120,20800,17700,404,234,2460,1530,64.8,31900,55900,74200,278,3330,10200,80.3,978,2870,,3180,2360,2670,864,191,
W,W1000X415,W1000X415,415,53100,1020,1020,305,305,26.2,25.4,12.7,46,46,75.9,77.8,44.5,3.31,33.3,8530,19500,16700,401,217,2290,1430,64,27100,51600,74200,259,3110,9620,79.5,975,2840,,3150,2350,2640,864,191,
W,W1000X393,W1000X393,393,49900,1020,1020,302,302,24.4,23.8,12.7,43.9,44.4,73.9,76.2,42.9,3.45,35.6,8070,18500,15900,401,205,2160,1350,64,23400,48600,73500,245,2980,9090,79.2,973,2840,,3150,2330,2640,864,191,
W,W1000X350,W1000X350,350,44600,1010,1010,302,302,21.1,20.6,11.1,40.1,39.7,70.1,73,41.3,3.77,41.2,7240,16600,14300,404,185,1930,1220,64.5,17200,43200,72900,221,2720,8110,79,968,2820,,3120,2320,2620,864,191,
W,W1000X314,W1000X314,314,40100,1000,1000,300,298,19.1,19,9.52,36.1,36.5,66,68.3,39.7,4.17,45.6,6450,14800,12900,401,162,1720,1080,63.8,12700,37900,72300,195,2430,7240,78,965,2790,,3100,2300,2590,864,191,
W,W1000X272,W1000X272,272,34400,991,991,300,298,16.5,15.9,7.94,30.5,30.2,60.5,63.5,39.7,4.92,52.6,5490,12700,11100,399,138,1450,918,63.2,8030,31700,72300,164,2060,6160,77.2,960,2790,,3100,2280,2590,864,191,
W,W1000X249,W1000X249,249,31800,980,981,300,298,16.5,15.9,7.94,26.2,25.4,56.1,58.7,39.7,5.76,52.6,4830,11400,9830,389,118,1250,785,61,5830,26800,71600,140,1750,5510,75.7,955,2770,,3070,2260,2570,864,191,
W,W1000X222,W1000X222,222,28300,970,972,300,298,16,15.9,7.94,21.1,20.6,51.1,54,38.1,7.11,54.3,4080,9800,8410,381,95.3,1020,636,58.2,3900,21500,71000,112,1420,4720,73.4,950,2740,,3050,2240,2540,864,191,
W,W920X1377,W920X1377,1380,175000,1090,1100,472,473,76.7,76.2,38.1,115,114,134,137,58.7,2.05,10.8,30400,67700,55600,417,2060,14100,8700,108,595000,494000,115000,1570,11200,33800,135,980,3400,,3890,2670,3150,822,191,76.2
W,W920X1269,W920X1269,1270,162000,1090,1100,462,464,64,63.5,31.8,115,114,134,137,52.4,2.01,12.9,29100,64200,53300,424,1910,13200,8280,109,516000,459000,113000,1510,11200,32000,133,980,3430,,3890,2640,3100,822,191,76.2
W,W920X1194,W920X1194,1190,152000,1080,1080,457,457,60.5,60.3,30.2,109,110,128,130,50.8,2.1,13.7,27000,60000,49800,422,1750,12200,7670,107,437000,414000,111000,1390,10500,29800,131,973,3380,,3840,2620,3070,822,191,76.2
W,W920X1077,W920X1077,1080,137000,1060,1060,452,451,55.1,55.6,28.6,99.1,98.4,118,119,47.6,2.28,15,23800,53600,44900,417,1540,10800,6820,106,327000,357000,109000,1220,9470,26700,129,963,3330,,3780,2570,3020,822,191,76.2
W,W920X970,W920X970,970,124000,1040,1040,447,448,50,50.8,25.4,89.9,90.5,114,122,55.6,2.48,16.3,21100,47700,40300,411,1340,9520,6010,104,247000,303000,106000,1070,8490,23800,126,955,3280,,3730,2530,2970,797,191,76.2
W,W920X787,W920X787,787,101000,1010,1010,437,438,40.9,41.3,20.6,73.9,74.6,98,106,50.8,2.96,19.9,16500,38200,32600,406,1040,7440,4740,102,136000,227000,103000,828,6870,19000,122,937,3230,,3660,2460,2900,797,191,76.2
W,W920X725,W920X725,725,92300,998,1000,434,435,38.1,38.1,19,68.1,68.3,92.2,102,47.6,3.19,21.4,15000,34900,30000,401,937,6750,4310,101,107000,202000,101000,749,6280,17400,120,930,3180,,3610,2430,2870,797,191,76.2
W,W920X656,W920X656,656,83900,988,987,432,432,34.5,34.9,17.5,62,61.9,86.1,95.3,47.6,3.48,23.6,13400,31300,27000,399,828,6030,3850,99.6,80700,178000,99400,666,5690,15600,119,927,3150,,3580,2410,2840,797,191,76.2
W,W920X588,W920X588,588,74800,975,975,427,429,31,31.8,15.9,55.9,55.6,80,87.3,46,3.83,26.3,11900,28000,24400,399,728,5330,3410,98.6,59100,154000,98100,587,5100,13900,117,919,3120,,3560,2380,2790,797,191,76.2
W,W920X537,W920X537,537,68400,965,965,424,425,28.4,28.6,14.3,51.1,50.8,75.2,84.1,44.5,4.16,28.6,10700,25400,22100,396,653,4800,3080,97.8,45400,137000,96800,529,4620,12600,116,914,3100,,3530,2350,2770,797,191,76.2
W,W920X491,W920X491,491,62500,958,956,422,422,25.9,25.4,12.7,47,47.6,71.1,79.4,44.5,4.49,31.4,9700,23100,20300,394,591,4340,2800,97.3,35100,122000,96100,479,4240,11400,115,912,3070,,3510,2340,2770,797,191,76.2
W,W920X449,W920X449,449,57400,947,949,424,422,24,23.8,12.7,42.7,42.9,66.8,76.2,42.9,4.96,33.9,8780,21000,18500,391,541,3950,2560,97,26800,111000,95500,433,3850,10400,115,904,3070,,3510,2320,2740,797,191,76.2
W,W920X420,W920X420,420,53500,942,943,422,422,22.5,22.2,11.1,39.9,39.7,64,73,41.3,5.29,36.2,8160,19500,17200,391,499,3650,2360,96.5,21900,102000,94800,400,3590,9680,114,902,3050,,3480,2310,2720,797,191,76.2
W,W920X390,W920X390,390,49800,937,937,422,419,21.3,20.6,11.1,36.6,36.5,60.7,69.9,41.3,5.75,38.2,7450,18000,15900,389,454,3340,2160,95.5,17300,91800,94800,363,3280,8900,113,902,3050,,3480,2300,2720,797,191,76.2
W,W920X368,W920X368,368,46800,932,930,419,419,20.3,20.6,11.1,34.3,34.9,58.4,66.7,41.3,6.11,40.1,6950,16900,15000,386,420,3110,2020,95,14400,84900,94200,338,3060,8340,112,899,3050,,3450,2280,2690,797,191,76.2
W,W920X344,W920X344,344,44000,927,927,419,419,19.3,19,9.52,32,31.8,56.1,65.1,39.7,6.54,42.2,6490,15800,14000,384,391,2880,1870,94.2,11900,78400,93500,315,2870,7800,112,894,3050,,3450,2270,2690,797,191,76.2
W,W920X576,W920X576,576,73500,993,994,323,324,36.1,36.5,19.1,65,65.1,84.1,96.8,49.2,2.48,22.9,11000,26400,22300,386,367,3670,2280,70.6,71600,78900,74800,393,4330,13100,87.4,927,2840,,3180,2310,2640,800,140,
W,W920X521,W920X521,521,66500,980,981,320,321,33,33.3,17.5,58.9,58.7,78,90.5,47.6,2.72,25,9820,23600,20000,384,325,3260,2030,69.9,53700,69000,73500,348,3900,11800,86.6,922,2820,,3150,2280,2590,800,140,
W,W920X474,W920X474,474,60300,970,972,315,314,30,30.2,15.9,54.1,54,73.2,85.7,46,2.91,27.5,8820,21300,18200,384,284,2880,1800,68.6,40900,59600,72300,307,3540,10600,84.6,917,2790,,3100,2260,2570,800,140,
W,W920X425,W920X425,425,54100,960,959,312,311,26.9,27,14.3,49,49.2,68.1,79.4,44.5,3.19,30.6,7870,19000,16400,381,251,2560,1600,68.1,30300,52100,71000,273,3200,9470,83.6,912,2770,,3070,2230,2540,800,140,
W,W920X381,W920X381,381,48600,951,949,310,311,24.4,23.8,12.7,43.9,44.4,63,74.6,42.9,3.53,33.8,6990,17000,14700,378,220,2250,1420,67.3,22000,45100,70300,240,2850,8460,82.3,907,2740,,3050,2210,2520,800,140,
W,W920X345,W920X345,345,43900,943,943,307,308,22.1,22.2,11.1,39.9,39.7,58.9,71.4,41.3,3.86,37.3,6240,15300,13300,376,195,2000,1270,66.5,16500,39700,69700,213,2570,7600,81.5,902,2740,,3050,2190,2500,800,140,
W,W920X313,W920X313,313,39900,932,933,310,308,21.1,20.6,11.1,34.5,34.9,53.6,66.7,41.3,4.48,39.1,5490,13700,11800,371,171,1750,1110,65.5,11700,34400,69700,186,2230,6750,80.8,897,2720,,3020,2170,2480,800,140,
W,W920X289,W920X289,289,36800,927,927,307,308,19.4,19,9.52,32,31.8,51.1,63.5,39.7,4.81,42.4,5040,12600,10900,371,156,1600,1010,65,9240,31200,69000,169,2060,6210,80,894,2720,,3020,2160,2470,800,140,
W,W920X271,W920X271,271,34600,922,924,307,308,18.4,19,9.52,30,30.2,49,60.3,39.7,5.12,44.8,4700,11800,10200,368,144,1490,944,64.8,7700,28700,68400,157,1930,5820,79.5,892,2690,,3000,2150,2460,800,140,
W,W920X253,W920X253,253,32300,919,918,305,305,17.3,17.5,9.52,27.9,28.6,47,60.3,39.7,5.47,47.7,4370,10900,9520,368,133,1370,872,64.3,6290,26500,67700,145,1790,5410,79,892,2690,,3000,2140,2450,800,140,
W,W920X238,W920X238,238,30300,914,914,305,305,16.5,15.9,7.94,25.9,25.4,45,57.2,39.7,5.88,49.9,4060,10200,8880,366,123,1270,805,63.5,5160,24200,67700,134,1660,5050,78.5,889,2670,,2970,2130,2440,800,140,
W,W920X223,W920X223,223,28600,912,911,305,305,15.9,15.9,7.94,23.9,23.8,42.9,55.6,38.1,6.37,51.9,3760,9520,8260,363,112,1160,739,62.7,4200,22100,67700,122,1530,4700,77.7,889,2670,,2970,2130,2430,800,140,
W,W920X201,W920X201,201,25700,904,902,305,305,15.2,15.9,7.94,20.1,20.6,39.1,52.4,38.1,7.56,54.1,3250,8340,7190,356,93.7,978,618,60.5,2910,18300,67100,102,1280,4110,75.9,884,2670,,2970,2110,2420,800,140,
W,W840X576,W840X576,576,73500,914,914,411,413,32,31.8,15.9,57.9,57.2,78,90.5,46,3.55,23.7,10100,25600,22100,371,674,5110,3280,95.8,61600,123000,88400,524,4700,12700,114,856,2970,,3380,2240,2640,733,140,76.2
W,W840X527,W840X527,527,67100,904,902,409,410,29.5,30.2,15.9,53.1,52.4,73.2,85.7,46,3.85,25.7,9160,23300,20300,368,608,4620,2970,95,47900,110000,87100,470,4290,11600,113,851,2950,,3350,2220,2620,733,140,76.2
W,W840X473,W840X473,473,60500,894,892,406,406,26.4,27,14.3,48,47.6,68.1,81,44.5,4.23,28.7,8120,20800,18200,368,537,4100,2640,94.2,35100,95900,85800,420,3850,10400,112,846,2920,,3330,2190,2590,733,140,76.2
W,W840X433,W840X433,433,55200,884,886,404,403,24.4,23.8,12.7,43.9,44.4,64,74.6,42.9,4.6,31,7370,19000,16700,366,483,3700,2390,93.5,27100,85700,84500,376,3510,9390,110,841,2900,,3300,2170,2570,733,140,76.2
W,W840X392,W840X392,392,49900,876,876,401,400,22.1,22.2,11.1,39.9,39.7,59.9,71.4,41.3,5.03,34.3,6620,17000,15100,363,433,3310,2150,93,20300,75500,83900,336,3160,8440,109,836,2870,,3280,2150,2570,733,140,76.2
W,W840X359,W840X359,359,45900,869,867,404,403,21.1,20.6,11.1,35.6,34.9,55.6,68.3,41.3,5.66,35.9,5910,15400,13600,358,388,2980,1930,91.9,15100,67400,83900,302,2830,7650,109,833,2870,,3280,2140,2540,733,140,76.2
W,W840X329,W840X329,329,42100,861,860,401,400,19.7,19,9.52,32.5,31.8,52.3,63.5,41.3,6.2,38.5,5370,14000,12400,358,350,2690,1740,91.2,11600,60200,83200,269,2560,6930,108,828,2840,,3250,2120,2520,733,140,76.2
W,W840X299,W840X299,299,38100,856,854,399,400,18.2,17.5,9.52,29.2,28.6,49.3,61.9,39.7,6.85,41.7,4830,12700,11200,356,312,2410,1560,90.4,8660,53200,82600,240,2290,6260,107,828,2820,,3230,2110,2510,733,140,76.2
W,W840X251,W840X251,251,31900,859,860,292,292,17,17.5,9.52,31,31.8,48.8,61.9,39.7,4.71,44.7,3870,10300,9000,348,129,1380,883,63.5,7370,22100,60500,137,1770,5100,77,828,2530,,2820,2010,2300,733,140,
W,W840X226,W840X226,226,29000,851,851,295,295,16.1,15.9,7.94,26.9,27,44.7,58.7,38.1,5.48,47.2,3400,9160,7980,343,114,1210,773,62.7,5160,19300,60700,120,1550,4560,76.5,823,2520,,2820,2000,2290,733,140,
W,W840X210,W840X210,210,26800,846,845,292,292,15.4,15.9,7.94,24.4,23.8,42.2,55.6,38.1,6.01,49.6,3100,8420,7340,340,102,1100,700,61.7,4040,17300,60000,107,1390,4150,75.7,820,2500,,2790,1980,2280,733,140,
W,W840X193,W840X193,193,24700,841,841,292,292,14.7,14.3,7.94,21.7,22.2,39.6,54,38.1,6.73,51.7,2790,7650,6650,335,90.7,975,621,60.7,3070,15200,59800,94.9,1230,3770,74.7,818,2500,,2790,1970,2270,733,140,
W,W840X176,W840X176,176,22400,836,835,292,292,14,14.3,7.94,18.8,19,36.6,50.8,38.1,7.76,54.5,2460,6800,5880,330,77.8,841,534,58.9,2210,13000,59700,82,1070,3360,73.4,818,2480,,2770,1960,2260,733,140,
W,W760X582,W760X582,582,74200,843,845,396,397,34.5,34.9,17.5,62,61.9,82,95.3,47.6,3.19,19.7,8620,23800,20500,340,645,5080,3240,93.2,72000,98300,77400,475,4380,11800,111,782,2770,,3180,2080,2480,654,140,76.2
W,W760X531,W760X531,531,67700,833,832,394,394,31.5,31.8,15.9,56.9,57.2,77,88.9,46,3.45,21.6,7780,21600,18700,338,579,4570,2930,92.5,55800,87000,76100,429,4000,10700,109,777,2740,,3150,2060,2450,654,140,76.2
W,W760X484,W760X484,484,61900,823,822,391,391,29,28.6,14.3,52.1,52.4,72.1,84.1,44.5,3.75,23.4,6990,19500,17000,335,516,4130,2650,91.4,42900,77100,75500,384,3640,9720,108,772,2740,,3120,2040,2430,654,140,76.2
W,W760X434,W760X434,434,55500,813,813,389,387,25.9,25.4,12.7,47,47.6,67.1,79.4,44.5,4.12,26.2,6200,17400,15200,335,458,3650,2360,90.9,31300,67100,74200,340,3260,8670,107,767,2720,,3100,2010,2400,654,140,76.2
W,W760X389,W760X389,389,49700,803,803,386,384,23.6,23.8,12.7,41.9,41.3,62,74.6,42.9,4.59,28.7,5450,15500,13600,333,399,3210,2080,89.7,22500,57700,73500,297,2880,7690,106,762,2690,,3070,1990,2380,654,140,76.2
W,W760X350,W760X350,350,44700,795,794,384,381,21.1,20.6,11.1,38.1,38.1,58.2,69.9,41.3,5.02,32.2,4870,13900,12300,330,356,2870,1870,89.2,16800,51000,72300,265,2610,6900,105,757,2670,,3050,1970,2360,654,140,76.2
W,W760X314,W760X314,314,40200,785,787,384,384,19.7,19,9.52,33.5,33.3,53.3,65.1,41.3,5.74,34.5,4290,12300,10900,328,315,2540,1640,88.6,11800,44600,72300,231,2290,6100,104,752,2640,,3020,1950,2340,654,140,76.2
W,W760X284,W760X284,284,36200,780,778,381,381,18,17.5,9.52,30.2,30.2,50,63.5,39.7,6.35,37.7,3830,11100,9830,325,280,2260,1470,87.9,8740,39200,71600,206,2050,5490,103,749,2640,,3020,1940,2320,654,140,76.2
W,W760X257,W760X257,257,32800,772,775,381,381,16.6,15.9,7.94,27.2,27,47,58.7,39.7,7.04,40.8,3430,9950,8870,323,249,2020,1310,86.9,6490,34600,71000,184,1850,4930,102,744,2620,,3000,1930,2310,654,140,76.2
W,W760X220,W760X220,220,28100,780,778,267,267,16.5,15.9,7.94,30,30.2,46.5,63.5,39.7,4.44,41.6,2780,8190,7140,315,94.5,1110,710,57.9,6040,13300,50000,99.9,1410,4060,70.4,749,2300,,2570,1830,2090,654,140,
W,W760X196,W760X196,196,25000,770,768,267,267,15.6,15.9,7.94,25.4,25.4,41.9,57.2,38.1,5.27,43.9,2400,7160,6230,310,81.6,957,610,57.2,4050,11300,49600,84.1,1190,3520,69.8,744,2270,,2540,1810,2070,654,140,
W,W760X185,W760X185,185,23500,767,765,267,267,14.9,14.3,7.94,23.6,23.8,40.1,57.2,38.1,5.65,46.2,2230,6690,5820,307,75.3,885,564,56.6,3330,10400,49500,78.3,1110,3310,69.3,744,2270,,2540,1800,2070,654,140,
W,W760X173,W760X173,173,22100,762,762,267,267,14.4,14.3,7.94,21.6,22.2,38.1,54,38.1,6.17,47.8,2050,6190,5390,305,68.3,806,513,55.6,2680,9370,49400,71.2,1010,3060,68.6,742,2270,,2530,1790,2060,654,140,
W,W760X161,W760X161,161,20500,757,759,267,267,13.8,14.3,7.94,19.3,19,35.8,50.8,38.1,6.89,49.6,1860,5670,4900,302,60.8,719,457,54.6,2080,8300,49200,63.3,900,2790,67.8,737,2260,,2520,1780,2050,654,140,
W,W760X147,W760X147,147,18700,754,752,267,267,13.2,12.7,6.35,17,17.5,33.5,50.8,38.1,7.8,51.9,1660,5110,4410,297,53.3,633,401,53.3,1570,7200,49200,55.8,795,2520,66.5,737,2250,,2520,1780,2040,654,140,
W,W760X134,W760X134,134,17000,749,749,264,264,11.9,12.7,6.35,15.5,15.9,32,47.6,36.5,8.52,57.5,1500,4640,4010,297,47.9,569,362,53.1,1180,6440,48500,49.5,716,2280,66,734,2240,,2500,1760,2030,654,140,
W,W690X802,W690X802,802,103000,826,826,389,387,50,50.8,25.4,89.9,90.5,110,113,46,2.15,12.1,10700,31000,25700,323,878,7160,4540,92.7,206000,119000,71600,624,5600,15500,112,737,2690,,3070,2040,2430,584,140,
W,W690X548,W690X548,548,70300,772,772,373,371,35.1,34.9,17.5,63,63.5,83.1,93.7,47.6,2.96,17.3,6740,20300,17400,310,545,4570,2930,88.4,70800,68500,66500,389,3790,10200,105,709,2540,,2920,1920,2290,584,140,
W,W690X500,W690X500,500,64000,762,762,371,368,32,31.8,15.9,57.9,57.2,78,88.9,46,3.19,18.9,6080,18500,15900,307,491,4130,2650,87.6,54500,60700,65200,350,3460,9230,104,704,2540,,2920,1890,2270,584,140,
W,W690X457,W690X457,457,58200,752,752,366,368,29.5,30.2,15.9,53.1,52.4,73.2,84.1,46,3.46,20.6,5450,16900,14500,305,437,3720,2390,86.6,42000,53400,63900,310,3110,8320,103,698,2500,,2870,1870,2240,584,140,
