type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,Ht,h,OD,B,b,tnom,tdes,b/tdes,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS,HSS34X10X1,HSS34X10X1,277.07,76.2,34,31.2,,10,7.21,1,0.93,7.75,33.6,,9600,750,565,11.2,1340,307,268,4.19,4040,555
HSS,HSS34X10X.875,HSS34X10X7/8,244.88,67.3,34,31.6,,10,7.56,0.88,0.81,9.29,38.8,,8600,668,506,11.3,1210,274,242,4.24,3630,494
HSS,HSS34X10X.750,HSS34X10X3/4,212,58.2,34,31.9,,10,7.91,0.75,0.7,11.3,45.7,,7550,582,444,11.4,1070,240,215,4.29,3190,431
HSS,HSS34X10X.625,HSS34X10X5/8,178.41,48.9,34,32.3,,10,8.26,0.63,0.58,14.2,55.5,,6430,493,378,11.5,924,205,185,4.35,2720,365
HSS,HSS30X10X1,HSS30X10X1,249.85,68.7,30,27.2,,10,7.21,1,0.93,7.75,29.3,,6900,606,460,10,1180,273,237,4.15,3460,487
HSS,HSS30X10X.875,HSS30X10X7/8,221.06,60.8,30,27.6,,10,7.56,0.88,0.81,9.29,33.9,,6190,540,413,10.1,1070,245,215,4.2,3110,434
HSS,HSS30X10X.750,HSS30X10X3/4,191.58,52.6,30,27.9,,10,7.91,0.75,0.7,11.3,40,,5440,471,363,10.2,952,215,190,4.25,2730,379
HSS,HSS30X10X.625,HSS30X10X5/8,161.4,44.3,30,28.3,,10,8.26,0.63,0.58,14.2,48.6,,4640,400,310,10.2,820,183,164,4.31,2330,321
HSS,HSS30X10X.500,HSS30X10X1/2,130.52,35.8,30,28.6,,10,8.61,0.5,0.47,18.5,61.5,,3810,326,254,10.3,679,149,136,4.36,1910,262
HSS,HSS24X20X.750,HSS24X20X3/4,212,58.2,24,21.9,,20,17.9,0.75,0.7,25.7,31.4,,4960,489,413,9.23,3750,432,375,8.02,6740,627
HSS,HSS24X20X.625,HSS24X20X5/8,178.41,48.9,24,22.3,,20,18.3,0.63,0.58,31.4,38.3,,4220,413,351,9.29,3190,365,319,8.08,5690,528
HSS,HSS24X20X.500,HSS24X20X1/2,144.13,39.5,24,22.6,,20,18.6,0.5,0.47,40,48.6,,3450,336,287,9.34,2610,297,261,8.13,4620,427
HSS,HSS24X20X.375,HSS24X20X3/8,109.15,29.9,24,23,,20,19,0.38,0.35,54.3,65.8,,2640,256,220,9.4,2000,226,200,8.19,3510,324
HSS,HSS24X20X.313,HSS24X20X5/16,91.39,25.1,24,23.1,,20,19.1,0.31,0.29,65.7,79.5,,2230,215,186,9.43,1690,190,169,8.21,2950,272
HSS,HSS24X18X.750,HSS24X18X3/4,201.79,55.4,24,21.9,,18,15.9,0.75,0.7,22.8,31.4,,4580,456,382,9.09,2940,375,327,7.29,5690,562
HSS,HSS24X18X.625,HSS24X18X5/8,169.91,46.6,24,22.3,,18,16.3,0.63,0.58,28,38.3,,3900,386,325,9.15,2510,318,279,7.34,4810,473
HSS,HSS24X18X.500,HSS24X18X1/2,137.32,37.6,24,22.6,,18,16.6,0.5,0.47,35.7,48.6,,3190,314,266,9.21,2060,258,229,7.39,3910,383
HSS,HSS24X18X.375,HSS24X18X3/8,104.04,28.5,24,23,,18,17,0.38,0.35,48.6,65.8,,2450,240,204,9.27,1580,197,176,7.45,2970,291
HSS,HSS24X18X.313,HSS24X18X5/16,87.14,23.9,24,23.1,,18,17.1,0.31,0.29,58.9,79.5,,2060,201,172,9.3,1330,166,148,7.47,2500,244
HSS,HSS24X16X.750,HSS24X16X3/4,191.58,52.6,24,21.9,,16,13.9,0.75,0.7,19.9,31.4,,4200,424,350,8.93,2250,321,281,6.53,4680,496
HSS,HSS24X16X.625,HSS24X16X5/8,161.4,44.3,24,22.3,,16,14.3,0.63,0.58,24.5,38.3,,3580,359,298,8.99,1920,272,240,6.59,3960,419
HSS,HSS24X16X.500,HSS24X16X1/2,130.52,35.8,24,22.6,,16,14.6,0.5,0.47,31.4,48.6,,2930,292,244,9.05,1580,222,197,6.64,3220,340
HSS,HSS24X16X.375,HSS24X16X3/8,98.94,27.1,24,23,,16,15,0.38,0.35,42.8,65.8,,2250,223,188,9.12,1210,169,152,6.69,2460,258
HSS,HSS24X16X.313,HSS24X16X5/16,82.88,22.7,24,23.1,,16,15.1,0.31,0.29,52,79.5,,1900,188,158,9.15,1030,143,128,6.72,2070,217
HSS,HSS24X14X.750,HSS24X14X3/4,181.37,49.8,24,21.9,,14,11.9,0.75,0.7,17.1,31.4,,3820,391,318,8.76,1660,270,237,5.77,3730,431
HSS,HSS24X14X.625,HSS24X14X5/8,152.89,41.9,24,22.3,,14,12.3,0.63,0.58,21.1,38.3,,3260,332,272,8.82,1420,229,203,5.82,3170,364
HSS,HSS24X14X.500,HSS24X14X1/2,123.71,33.9,24,22.6,,14,12.6,0.5,0.47,27.1,48.6,,2680,270,223,8.88,1170,187,167,5.87,2580,296
HSS,HSS24X14X.375,HSS24X14X3/8,93.83,25.7,24,23,,14,13,0.38,0.35,37.1,65.8,,2060,207,171,8.94,902,143,129,5.92,1970,225
HSS,HSS24X14X.313,HSS24X14X5/16,78.63,21.6,24,23.1,,14,13.1,0.31,0.29,45.1,79.5,,1740,174,145,8.98,763,120,109,5.95,1660,189
HSS,HSS24X14X.250,HSS24X14X1/4,63.25,17.4,24,23.3,,14,13.3,0.25,0.23,57.1,100,,1410,140,117,9.01,619,97.4,88.5,5.98,1340,152
HSS,HSS24X12X1,HSS24X12X1,222.63,61.3,24,21.2,,12,9.21,1,0.93,9.9,22.8,,4340,459,362,8.42,1460,282,243,4.88,3630,472
HSS,HSS24X12X.875,HSS24X12X7/8,197.24,54.3,24,21.6,,12,9.56,0.88,0.81,11.7,26.5,,3910,410,326,8.49,1320,252,220,4.93,3250,420
HSS,HSS24X12X.750,HSS24X12X3/4,171.16,47.1,24,21.9,,12,9.91,0.75,0.7,14.2,31.4,,3440,359,287,8.55,1170,221,195,4.98,2850,366
HSS,HSS24X12X.625,HSS24X12X5/8,144.39,39.6,24,22.3,,12,10.3,0.63,0.58,17.7,38.4,,2940,304,245,8.62,1000,188,167,5.03,2430,310
HSS,HSS24X12X.500,HSS24X12X1/2,116.91,32.1,24,22.6,,12,10.6,0.5,0.47,22.8,48.6,,2420,248,202,8.68,829,154,138,5.08,1980,252
HSS,HSS24X12X.375,HSS24X12X3/8,88.73,24.3,24,23,,12,11,0.38,0.35,31.4,65.8,,1860,190,155,8.75,642,118,107,5.14,1520,192
HSS,HSS24X12X.313,HSS24X12X5/16,74.38,20.4,24,23.1,,12,11.1,0.31,0.29,38.2,79.5,,1570,160,131,8.78,543,99.4,90.6,5.16,1280,161
HSS,HSS24X12X.250,HSS24X12X1/4,59.85,16.4,24,23.3,,12,11.3,0.25,0.23,48.5,100,,1280,129,106,8.82,442,80.5,73.6,5.19,1030,130
HSS,HSS24X8X.500,HSS24X8X1/2,103.3,28.3,24,22.6,,8,6.61,0.5,0.47,14.2,48.6,,1900,205,159,8.19,336,93.5,84,3.44,955,165
HSS,HSS24X8X.375,HSS24X8X3/8,78.52,21.5,24,23,,8,6.95,0.38,0.35,19.9,65.8,,1470,157,123,8.27,263,72.2,65.8,3.5,739,126
HSS,HSS24X8X.313,HSS24X8X5/16,65.87,18.1,24,23.1,,8,7.13,0.31,0.29,24.5,79.5,,1250,132,104,8.3,224,61,56,3.52,625,106
HSS,HSS24X8X.250,HSS24X8X1/4,53.05,14.6,24,23.3,,8,7.3,0.25,0.23,31.3,100,,1010,107,84.4,8.34,183,49.5,45.8,3.55,508,86
HSS,HSS22X22X1,HSS22X22X1,277.07,76.2,22,19.2,,22,19.2,1,0.93,20.7,20.7,,5550,596,505,8.54,5550,596,505,8.54,8890,823
HSS,HSS22X22X.875,HSS22X22X7/8,244.88,67.3,22,19.6,,22,19.6,0.88,0.81,24.1,24.1,,4970,530,452,8.59,4970,530,452,8.59,7890,729
HSS,HSS22X22X.750,HSS22X22X3/4,212,58.2,22,19.9,,22,19.9,0.75,0.7,28.5,28.5,,4350,462,395,8.65,4350,462,395,8.65,6860,632
HSS,HSS22X22X.625,HSS22X22X5/8,178.41,48.9,22,20.3,,22,20.3,0.63,0.58,34.9,34.9,,3710,390,337,8.7,3710,390,337,8.7,5790,532
HSS,HSS22X22X.500,HSS22X22X1/2,144.13,39.5,22,20.6,,22,20.6,0.5,0.47,44.3,44.3,,3030,317,276,8.76,3030,317,276,8.76,4700,431
HSS,HSS22X20X.750,HSS22X20X3/4,201.79,55.4,22,19.9,,20,17.9,0.75,0.7,25.7,28.5,,4040,432,367,8.54,3490,405,349,7.93,5920,573
HSS,HSS22X20X.625,HSS22X20X5/8,169.91,46.6,22,20.3,,20,18.3,0.63,0.58,31.4,34.9,,3440,366,313,8.59,2970,343,297,7.99,5000,483
HSS,HSS22X20X.500,HSS22X20X1/2,137.32,37.6,22,20.6,,20,18.6,0.5,0.47,40,44.3,,2820,297,256,8.65,2440,279,244,8.04,4060,391
HSS,HSS22X20X.375,HSS22X20X3/8,104.04,28.5,22,21,,20,19,0.38,0.35,54.3,60,,2160,227,196,8.71,1870,213,187,8.1,3090,297
HSS,HSS22X20X.313,HSS22X20X5/16,87.14,23.9,22,21.1,,20,19.1,0.31,0.29,65.7,72.6,,1820,191,166,8.73,1580,179,158,8.13,2590,249
HSS,HSS22X18X.750,HSS22X18X3/4,191.58,52.6,22,19.9,,18,15.9,0.75,0.7,22.8,28.5,,3720,402,338,8.41,2730,351,304,7.21,5000,513
HSS,HSS22X18X.625,HSS22X18X5/8,161.4,44.3,22,20.3,,18,16.3,0.63,0.58,28,34.9,,3170,341,288,8.47,2330,297,259,7.26,4230,433
HSS,HSS22X18X.500,HSS22X18X1/2,130.52,35.8,22,20.6,,18,16.6,0.5,0.47,35.7,44.3,,2600,277,236,8.52,1910,242,213,7.31,3440,351
HSS,HSS22X18X.375,HSS22X18X3/8,98.94,27.1,22,21,,18,17,0.38,0.35,48.6,60,,2000,212,182,8.58,1470,185,164,7.37,2620,267
HSS,HSS22X18X.313,HSS22X18X5/16,82.88,22.7,22,21.1,,18,17.1,0.31,0.29,58.9,72.6,,1680,178,153,8.61,1240,156,138,7.4,2200,224
HSS,HSS22X16X.750,HSS22X16X3/4,181.37,49.8,22,19.9,,16,13.9,0.75,0.7,19.9,28.5,,3400,372,309,8.26,2080,300,260,6.47,4130,454
HSS,HSS22X16X.625,HSS22X16X5/8,152.89,41.9,22,20.3,,16,14.3,0.63,0.58,24.5,34.9,,2910,316,264,8.32,1780,254,223,6.52,3500,383
HSS,HSS22X16X.500,HSS22X16X1/2,123.71,33.9,22,20.6,,16,14.6,0.5,0.47,31.4,44.3,,2380,257,217,8.38,1470,207,183,6.57,2850,311
HSS,HSS22X16X.375,HSS22X16X3/8,93.83,25.7,22,21,,16,15,0.38,0.35,42.8,60,,1830,197,167,8.44,1130,159,141,6.63,2170,236
HSS,HSS22X16X.313,HSS22X16X5/16,78.63,21.6,22,21.1,,16,15.1,0.31,0.29,52,72.6,,1550,165,141,8.47,954,133,119,6.65,1830,198
HSS,HSS22X16X.250,HSS22X16X1/4,63.25,17.4,22,21.3,,16,15.3,0.25,0.23,65.7,91.4,,1250,134,114,8.5,774,108,96.7,6.68,1470,160
HSS,HSS22X14X.750,HSS22X14X3/4,171.16,47.1,22,19.9,,14,11.9,0.75,0.7,17.1,28.5,,3090,343,281,8.1,1530,251,219,5.71,3300,394
HSS,HSS22X14X.625,HSS22X14X5/8,144.39,39.6,22,20.3,,14,12.3,0.63,0.58,21.1,34.9,,2640,291,240,8.16,1320,213,188,5.76,2800,333
HSS,HSS22X14X.500,HSS22X14X1/2,116.91,32.1,22,20.6,,14,12.6,0.5,0.47,27.1,44.3,,2170,237,197,8.22,1080,174,155,5.81,2290,271
HSS,HSS22X14X.375,HSS22X14X3/8,88.73,24.3,22,21,,14,13,0.38,0.35,37.1,60,,1670,182,152,8.29,837,134,120,5.87,1750,206
HSS,HSS22X14X.313,HSS22X14X5/16,74.38,20.4,22,21.1,,14,13.1,0.31,0.29,45.1,72.6,,1410,153,128,8.32,708,112,101,5.89,1470,173
HSS,HSS22X14X.250,HSS22X14X1/4,59.85,16.4,22,21.3,,14,13.3,0.25,0.23,57.1,91.4,,1140,123,104,8.35,575,90.9,82.2,5.92,1190,140
HSS,HSS22X10X.625,HSS22X10X5/8,127.37,35,22,20.3,,10,8.26,0.63,0.58,14.2,34.9,,2110,241,191,7.76,614,139,123,4.19,1560,234
HSS,HSS22X10X.500,HSS22X10X1/2,103.3,28.3,22,20.6,,10,8.61,0.5,0.47,18.5,44.3,,1740,197,158,7.83,510,114,102,4.24,1280,191
HSS,HSS22X10X.375,HSS22X10X3/8,78.52,21.5,22,21,,10,8.95,0.38,0.35,25.7,60,,1340,151,122,7.9,397,87.7,79.4,4.29,986,146
HSS,HSS22X10X.313,HSS22X10X5/16,65.87,18.1,22,21.1,,10,9.13,0.31,0.29,31.4,72.6,,1140,128,103,7.93,337,74,67.4,4.32,832,123
HSS,HSS22X10X.250,HSS22X10X1/4,53.05,14.6,22,21.3,,10,9.3,0.25,0.23,39.9,91.4,,923,103,83.9,7.96,275,60,55,4.34,674,99
HSS,HSS20X20X1,HSS20X20X1,249.85,68.7,20,17.2,,20,17.2,1,0.93,18.5,18.5,,4100,486,410,7.72,4100,486,410,7.72,6600,673
HSS,HSS20X20X.875,HSS20X20X7/8,221.06,60.8,20,17.6,,20,17.6,0.88,0.81,21.6,21.6,,3670,433,367,7.77,3670,433,367,7.77,5870,597
HSS,HSS20X20X.750,HSS20X20X3/4,191.58,52.6,20,17.9,,20,17.9,0.75,0.7,25.6,25.6,,3230,378,323,7.84,3230,378,323,7.84,5110,519
HSS,HSS20X20X.625,HSS20X20X5/8,161.4,44.3,20,18.3,,20,18.3,0.63,0.58,31.5,31.5,,2750,320,275,7.88,2750,320,275,7.88,4320,437
HSS,HSS20X20X.500,HSS20X20X1/2,130.52,35.8,20,18.6,,20,18.6,0.5,0.47,40,40,,2260,261,226,7.95,2260,261,226,7.95,3510,355
HSS,HSS20X20X.375,HSS20X20X3/8,98.94,27.1,20,19,,20,19,0.38,0.35,54.3,54.3,,1740,199,174,8,1740,199,174,8,2680,269
HSS,HSS20X20X.313,HSS20X20X5/16,82.88,22.7,20,19.1,,20,19.1,0.31,0.29,65.7,65.7,,1460,167,146,8.03,1460,167,146,8.03,2250,226
HSS,HSS20X16X.750,HSS20X16X3/4,171.16,47.1,20,17.9,,16,13.9,0.75,0.7,19.9,25.7,,2710,324,271,7.59,1920,278,240,6.39,3590,411
HSS,HSS20X16X.625,HSS20X16X5/8,144.39,39.6,20,18.3,,16,14.3,0.63,0.58,24.5,31.4,,2320,275,232,7.65,1640,236,206,6.44,3040,347
HSS,HSS20X16X.500,HSS20X16X1/2,116.91,32.1,20,18.6,,16,14.6,0.5,0.47,31.4,40,,1900,224,190,7.7,1350,193,169,6.5,2480,282
HSS,HSS20X16X.375,HSS20X16X3/8,88.73,24.3,20,19,,16,15,0.38,0.35,42.8,54.3,,1470,172,147,7.76,1040,148,130,6.55,1890,215
HSS,HSS20X16X.313,HSS20X16X5/16,74.38,20.4,20,19.1,,16,15.1,0.31,0.29,52,65.7,,1240,144,124,7.79,882,124,110,6.58,1590,180
HSS,HSS20X16X.250,HSS20X16X1/4,59.85,16.4,20,19.3,,16,15.3,0.25,0.23,65.7,82.8,,1000,117,100,7.82,716,100,89.5,6.6,1280,145
HSS,HSS20X12X1,HSS20X12X1,195.4,53.8,20,17.2,,12,9.21,1,0.93,9.9,18.5,,2740,344,274,7.14,1230,241,205,4.78,2820,390
HSS,HSS20X12X.875,HSS20X12X7/8,173.43,47.7,20,17.6,,12,9.56,0.88,0.81,11.7,21.6,,2480,308,248,7.2,1110,216,186,4.83,2530,347
HSS,HSS20X12X.750,HSS20X12X3/4,150.75,41.5,20,17.9,,12,9.91,0.75,0.7,14.2,25.6,,2190,270,219,7.26,988,190,165,4.88,2220,303
HSS,HSS20X12X.625,HSS20X12X5/8,127.37,35,20,18.3,,12,10.3,0.63,0.58,17.7,31.4,,1880,230,188,7.33,851,162,142,4.93,1890,257
HSS,HSS20X12X.500,HSS20X12X1/2,103.3,28.3,20,18.6,,12,10.6,0.5,0.47,22.8,40,,1550,188,155,7.39,705,132,117,4.99,1540,209
HSS,HSS20X12X.375,HSS20X12X3/8,78.52,21.5,20,19,,12,11,0.38,0.35,31.4,54.3,,1200,144,120,7.45,547,102,91.1,5.04,1180,160
HSS,HSS20X12X.313,HSS20X12X5/16,65.87,18.1,20,19.1,,12,11.1,0.31,0.29,38.2,65.7,,1010,122,101,7.48,464,85.8,77.3,5.07,997,134
HSS,HSS20X8X1,HSS20X8X1,168.18,46.4,20,17.2,,8,5.21,1,0.93,5.6,18.5,,2060,273,206,6.67,472,141,118,3.19,1320,248
HSS,HSS20X8X.875,HSS20X8X7/8,149.61,41.2,20,17.6,,8,5.56,0.88,0.81,6.83,21.6,,1880,246,188,6.74,432,127,108,3.24,1200,222
HSS,HSS20X8X.750,HSS20X8X3/4,130.33,35.9,20,17.9,,8,5.91,0.75,0.7,8.46,25.7,,1670,216,167,6.82,388,112,97.1,3.29,1060,195
HSS,HSS20X8X.625,HSS20X8X5/8,110.36,30.3,20,18.3,,8,6.26,0.63,0.58,10.8,31.4,,1440,185,144,6.89,338,96.4,84.6,3.34,916,167
HSS,HSS20X8X.500,HSS20X8X1/2,89.68,24.6,20,18.6,,8,6.6,0.5,0.47,14.2,40,,1190,152,119,6.96,283,79.5,70.8,3.39,757,137
HSS,HSS20X8X.375,HSS20X8X3/8,68.31,18.7,20,19,,8,6.95,0.38,0.35,19.9,54.3,,926,117,92.6,7.03,222,61.5,55.6,3.44,586,105
HSS,HSS20X8X.313,HSS20X8X5/16,57.36,15.7,20,19.1,,8,7.13,0.31,0.29,24.5,65.7,,786,98.6,78.6,7.07,189,52,47.4,3.47,496,88.3
HSS,HSS20X6X.625,HSS20X6X5/8,101.85,28,20,18.3,,6,4.26,0.63,0.58,7.33,31.4,,1220,162,122,6.6,175,67.3,58.4,2.5,528,122
HSS,HSS20X6X.500,HSS20X6X1/2,82.88,22.8,20,18.6,,6,4.61,0.5,0.47,9.9,40,,1020,134,102,6.68,148,55.8,49.4,2.55,441,100
HSS,HSS20X6X.375,HSS20X6X3/8,63.21,17.3,20,19,,6,4.95,0.38,0.35,14.2,54.3,,792,103,79.2,6.76,118,43.4,39.2,2.6,345,77.3
HSS,HSS20X6X.313,HSS20X6X5/16,53.11,14.6,20,19.1,,6,5.13,0.31,0.29,17.6,65.7,,673,87.1,67.3,6.79,101,36.9,33.6,2.63,293,65.4
HSS,HSS20X6X.250,HSS20X6X1/4,42.84,11.8,20,19.3,,6,5.3,0.25,0.23,22.8,82.8,,549,70.7,54.9,6.83,82.9,30,27.6,2.66,240,53.1
HSS,HSS20X4X.500,HSS20X4X1/2,76.07,20.9,20,18.6,,4,2.6,0.5,0.47,5.6,40,,838,115,83.8,6.33,58.7,34,29.3,1.68,195,63.8
HSS,HSS20X4X.375,HSS20X4X3/8,58.1,16,20,19,,4,2.95,0.38,0.35,8.46,54.3,,657,89.3,65.7,6.42,47.6,26.8,23.8,1.73,156,49.9
HSS,HSS20X4X.313,HSS20X4X5/16,48.86,13.4,20,19.1,,4,3.13,0.31,0.29,10.7,65.7,,560,75.6,56,6.46,41.2,22.9,20.6,1.75,134,42.4
HSS,HSS20X4X.250,HSS20X4X1/4,39.43,10.8,20,19.3,,4,3.3,0.25,0.23,14.2,82.8,,458,61.5,45.8,6.5,34.3,18.7,17.1,1.78,111,34.7
HSS,HSS18X18X1,HSS18X18X1,222.63,61.3,18,15.2,,18,15.2,1,0.93,16.4,16.4,,2920,387,324,6.9,2920,387,324,6.9,4740,539
HSS,HSS18X18X.875,HSS18X18X7/8,197.24,54.3,18,15.6,,18,15.6,0.88,0.81,19.2,19.2,,2630,346,292,6.96,2630,346,292,6.96,4220,479
HSS,HSS18X18X.750,HSS18X18X3/4,171.16,47.1,18,15.9,,18,15.9,0.75,0.7,22.8,22.8,,2320,302,258,7.02,2320,302,258,7.02,3690,417
HSS,HSS18X18X.625,HSS18X18X5/8,144.39,39.6,18,16.3,,18,16.3,0.63,0.58,28.1,28.1,,1980,257,220,7.07,1980,257,220,7.07,3120,352
HSS,HSS18X18X.500,HSS18X18X1/2,116.91,32.1,18,16.6,,18,16.6,0.5,0.47,35.7,35.7,,1630,210,181,7.13,1630,210,181,7.13,2540,286
HSS,HSS18X18X.375,HSS18X18X3/8,88.73,24.3,18,17,,18,17,0.38,0.35,48.6,48.6,,1250,160,139,7.18,1250,160,139,7.18,1940,217
